Vecka,År,Region,Antal vaccinerade,Andel vaccinerade,Vaccinationsstatus,,,
05,2021,Uppsala,3384,0.010595,Färdigvaccinerade,,,
05,2021,Södermanland,11944,0.048759,Minst 1 dos,,,
05,2021,Södermanland,5967,0.024359,Färdigvaccinerade,,,
05,2021,Östergötland,16905,0.043798,Minst 1 dos,,,
05,2021,Östergötland,6096,0.015794,Färdigvaccinerade,,,
05,2021,Jönköping,13590,0.045580,Minst 1 dos,,,
05,2021,Jönköping,6227,0.020885,Färdigvaccinerade,,,
05,2021,Kronoberg,6803,0.041158,Minst 1 dos,,,
05,2021,Kronoberg,2095,0.012675,Färdigvaccinerade,,,
05,2021,Kalmar,13611,0.066304,Minst 1 dos,,,
05,2021,Kalmar,1935,0.009426,Färdigvaccinerade,,,
05,2021,Gotland,4899,0.096318,Minst 1 dos,,,
05,2021,Gotland,1102,0.021666,Färdigvaccinerade,,,
05,2021,Blekinge,7043,0.053170,Minst 1 dos,,,
05,2021,Blekinge,2528,0.019085,Färdigvaccinerade,,,
05,2021,Skåne,45862,0.040350,Minst 1 dos,,,
05,2021,Skåne,8311,0.007312,Färdigvaccinerade,,,
05,2021,Halland,12874,0.046672,Minst 1 dos,,,
05,2021,Halland,2607,0.009451,Färdigvaccinerade,,,
05,2021,Västra Götaland,54098,0.037867,Minst 1 dos,,,
05,2021,Västra Götaland,7099,0.004969,Färdigvaccinerade,,,
05,2021,Värmland,12223,0.051645,Minst 1 dos,,,
05,2021,Värmland,2377,0.010043,Färdigvaccinerade,,,
05,2021,Örebro,12197,0.048464,Minst 1 dos,,,
05,2021,Örebro,3665,0.014563,Färdigvaccinerade,,,
05,2021,Västmanland,10798,0.047281,Minst 1 dos,,,
05,2021,Västmanland,5049,0.022108,Färdigvaccinerade,,,
05,2021,Dalarna,10533,0.044086,Minst 1 dos,,,
05,2021,Dalarna,3043,0.012736,Färdigvaccinerade,,,
05,2021,Gävleborg,12420,0.051791,Minst 1 dos,,,
05,2021,Gävleborg,4461,0.018602,Färdigvaccinerade,,,
05,2021,Västernorrland,9143,0.044799,Minst 1 dos,,,
05,2021,Västernorrland,3034,0.014866,Färdigvaccinerade,,,
05,2021,Jämtland,4013,0.036832,Minst 1 dos,,,
05,2021,Jämtland,2137,0.019614,Färdigvaccinerade,,,
05,2021,Västerbotten,9560,0.042088,Minst 1 dos,,,
05,2021,Västerbotten,1292,0.005688,Färdigvaccinerade,,,
05,2021,Norrbotten,9734,0.046105,Minst 1 dos,,,
05,2021,Norrbotten,3296,0.015611,Färdigvaccinerade,,,
06,2021,| Sverige |,390964,0.045772,Minst 1 dos,,,
06,2021,| Sverige |,163871,0.019185,Färdigvaccinerade,,,
06,2021,Stockholm,57917,0.029682,Minst 1 dos,,,
06,2021,Stockholm,27711,0.014202,Färdigvaccinerade,,,
06,2021,Uppsala,15052,0.047127,Minst 1 dos,,,
06,2021,Uppsala,5753,0.018012,Färdigvaccinerade,,,
06,2021,Södermanland,12849,0.052453,Minst 1 dos,,,
06,2021,Södermanland,9196,0.037541,Färdigvaccinerade,,,
06,2021,Östergötland,18761,0.048606,Minst 1 dos,,,
06,2021,Östergötland,9958,0.025799,Färdigvaccinerade,,,
06,2021,Jönköping,15509,0.052016,Minst 1 dos,,,
06,2021,Jönköping,9159,0.030719,Färdigvaccinerade,,,
06,2021,Kronoberg,7471,0.045199,Minst 1 dos,,,
06,2021,Kronoberg,3909,0.023649,Färdigvaccinerade,,,
06,2021,Kalmar,14725,0.071731,Minst 1 dos,,,
06,2021,Kalmar,5055,0.024625,Färdigvaccinerade,,,
06,2021,Gotland,5174,0.101724,Minst 1 dos,,,
06,2021,Gotland,1348,0.026503,Färdigvaccinerade,,,
06,2021,Blekinge,8314,0.062765,Minst 1 dos,,,
06,2021,Blekinge,3855,0.029102,Färdigvaccinerade,,,
06,2021,Skåne,49171,0.043261,Minst 1 dos,,,
06,2021,Skåne,14306,0.012587,Färdigvaccinerade,,,
06,2021,Halland,16113,0.058414,Minst 1 dos,,,
06,2021,Halland,6162,0.022339,Färdigvaccinerade,,,
06,2021,Västra Götaland,65296,0.045705,Minst 1 dos,,,
06,2021,Västra Götaland,16614,0.011629,Färdigvaccinerade,,,
06,2021,Värmland,14122,0.059668,Minst 1 dos,,,
06,2021,Värmland,4679,0.019770,Färdigvaccinerade,,,
06,2021,Örebro,14785,0.058747,Minst 1 dos,,,
06,2021,Örebro,5971,0.023725,Färdigvaccinerade,,,
06,2021,Västmanland,11693,0.051200,Minst 1 dos,,,
06,2021,Västmanland,7050,0.030870,Färdigvaccinerade,,,
06,2021,Dalarna,11240,0.047045,Minst 1 dos,,,
06,2021,Dalarna,9288,0.038875,Färdigvaccinerade,,,
06,2021,Gävleborg,14918,0.062207,Minst 1 dos,,,
06,2021,Gävleborg,6176,0.025754,Färdigvaccinerade,,,
06,2021,Västernorrland,10035,0.049169,Minst 1 dos,,,
06,2021,Västernorrland,4881,0.023916,Färdigvaccinerade,,,
06,2021,Jämtland,5008,0.045965,Minst 1 dos,,,
06,2021,Jämtland,3223,0.029582,Färdigvaccinerade,,,
06,2021,Västerbotten,10978,0.048330,Minst 1 dos,,,
06,2021,Västerbotten,3342,0.014713,Färdigvaccinerade,,,
06,2021,Norrbotten,11833,0.056046,Minst 1 dos,,,
06,2021,Norrbotten,6235,0.029532,Färdigvaccinerade,,,
07,2021,| Sverige |,460922,0.053963,Minst 1 dos,,,
07,2021,| Sverige |,247803,0.029012,Färdigvaccinerade,,,
07,2021,Stockholm,65832,0.033738,Minst 1 dos,,,
07,2021,Stockholm,38042,0.019496,Färdigvaccinerade,,,
07,2021,Uppsala,17596,0.055092,Minst 1 dos,,,
07,2021,Uppsala,8049,0.025201,Färdigvaccinerade,,,
07,2021,Södermanland,16234,0.066272,Minst 1 dos,,,
07,2021,Södermanland,11013,0.044958,Färdigvaccinerade,,,
07,2021,Östergötland,23616,0.061185,Minst 1 dos,,,
07,2021,Östergötland,13275,0.034393,Färdigvaccinerade,,,
07,2021,Jönköping,18733,0.062829,Minst 1 dos,,,
07,2021,Jönköping,12215,0.040968,Färdigvaccinerade,,,
07,2021,Kronoberg,9313,0.056343,Minst 1 dos,,,
07,2021,Kronoberg,5053,0.030570,Färdigvaccinerade,,,
07,2021,Kalmar,16854,0.082102,Minst 1 dos,,,
07,2021,Kalmar,7969,0.038820,Färdigvaccinerade,,,
07,2021,Gotland,5387,0.105912,Minst 1 dos,,,
07,2021,Gotland,2378,0.046753,Färdigvaccinerade,,,
07,2021,Blekinge,10764,0.081260,Minst 1 dos,,,
07,2021,Blekinge,5130,0.038728,Färdigvaccinerade,,,
07,2021,Skåne,55795,0.049089,Minst 1 dos,,,
07,2021,Skåne,28067,0.024694,Färdigvaccinerade,,,
07,2021,Halland,19516,0.070751,Minst 1 dos,,,
07,2021,Halland,9600,0.034803,Färdigvaccinerade,,,
07,2021,Västra Götaland,75967,0.053175,Minst 1 dos,,,
07,2021,Västra Götaland,37752,0.026425,Färdigvaccinerade,,,
07,2021,Värmland,16988,0.071778,Minst 1 dos,,,
